Configs: FCNs_batch5_epoch500_RMSprop_scheduler-step50-gamma0.5_lr0.0001_momentum0_w_decay1e-05
Finish cuda loading, time elapsed 6.45872712135
epoch0, iter0, loss: 2.61255908012
epoch0, iter10, loss: 2.16352152824
epoch0, iter20, loss: 2.12197375298
epoch0, iter30, loss: 1.83645498753
epoch0, iter40, loss: 1.84803283215
epoch0, iter50, loss: 1.72304034233
epoch0, iter60, loss: 1.60426604748
epoch0, iter70, loss: 1.53697383404
epoch0, iter80, loss: 1.63392400742
epoch0, iter90, loss: 1.47418022156
epoch0, iter100, loss: 1.46744644642
epoch0, iter110, loss: 1.48573422432
epoch0, iter120, loss: 1.38030529022
epoch0, iter130, loss: 1.38255250454
epoch0, iter140, loss: 1.393648386
epoch0, iter150, loss: 1.32318174839
epoch0, iter160, loss: 1.27300596237
epoch0, iter170, loss: 1.24271225929
epoch0, iter180, loss: 1.2398096323
epoch0, iter190, loss: 1.1838530302
epoch0, iter200, loss: 1.27420163155
epoch0, iter210, loss: 1.44201397896
epoch0, iter220, loss: 1.19886434078
epoch0, iter230, loss: 1.15271866322
epoch0, iter240, loss: 1.11589801311
epoch0, iter250, loss: 1.14009439945
epoch0, iter260, loss: 1.09594094753
epoch0, iter270, loss: 1.03825581074
epoch0, iter280, loss: 1.0712262392
epoch0, iter290, loss: 1.13966596127
epoch0, iter300, loss: 1.13409101963
epoch0, iter310, loss: 1.00669598579
epoch0, iter320, loss: 0.993833422661
epoch0, iter330, loss: 1.03283524513
epoch0, iter340, loss: 1.02209711075
epoch0, iter350, loss: 0.968944251537
epoch0, iter360, loss: 0.968349337578
epoch0, iter370, loss: 0.929327011108
epoch0, iter380, loss: 0.976259231567
epoch0, iter390, loss: 0.989797830582
epoch0, iter400, loss: 0.844699263573
epoch0, iter410, loss: 0.858605563641
epoch0, iter420, loss: 0.960578620434
epoch0, iter430, loss: 0.864873528481
epoch0, iter440, loss: 0.881439328194
epoch0, iter450, loss: 0.89024156332
epoch0, iter460, loss: 0.795177221298
epoch0, iter470, loss: 0.850864648819
epoch0, iter480, loss: 0.807875216007
epoch0, iter490, loss: 0.800196588039
epoch0, iter500, loss: 0.736067950726
epoch0, iter510, loss: 0.83481836319
epoch0, iter520, loss: 0.780613005161
epoch0, iter530, loss: 0.680282771587
epoch0, iter540, loss: 0.772286474705
epoch0, iter550, loss: 0.802174508572
epoch0, iter560, loss: 0.71603423357
epoch0, iter570, loss: 0.710732400417
epoch0, iter580, loss: 0.740266442299
epoch0, iter590, loss: 0.830950021744
epoch0, iter600, loss: 0.70064330101
epoch0, iter610, loss: 0.612068653107
epoch0, iter620, loss: 0.721413135529
epoch0, iter630, loss: 0.680758655071
epoch0, iter640, loss: 0.701055288315
epoch0, iter650, loss: 0.57491505146
epoch0, iter660, loss: 0.637851297855
epoch0, iter670, loss: 0.640312492847
epoch0, iter680, loss: 0.652149140835
epoch0, iter690, loss: 0.616801261902
epoch0, iter700, loss: 0.65911668539
epoch0, iter710, loss: 0.571349024773
epoch0, iter720, loss: 0.506151437759
epoch0, iter730, loss: 0.558904469013
epoch0, iter740, loss: 0.546798527241
epoch0, iter750, loss: 0.616511166096
epoch0, iter760, loss: 0.575309813023
epoch0, iter770, loss: 0.482979893684
epoch0, iter780, loss: 0.512805044651
epoch0, iter790, loss: 0.622662961483
epoch0, iter800, loss: 0.486576855183
epoch0, iter810, loss: 0.529354214668
epoch0, iter820, loss: 0.555169761181
epoch0, iter830, loss: 0.622792899609
epoch0, iter840, loss: 0.528848409653
epoch0, iter850, loss: 0.409209161997
epoch0, iter860, loss: 0.455211937428
epoch0, iter870, loss: 0.501853466034
epoch0, iter880, loss: 0.430202543736
epoch0, iter890, loss: 0.431721359491
epoch0, iter900, loss: 0.456093758345
epoch0, iter910, loss: 0.46602845192
epoch0, iter920, loss: 0.497065037489
epoch0, iter930, loss: 0.440981686115
epoch0, iter940, loss: 0.401403069496
epoch0, iter950, loss: 0.491503059864
epoch0, iter960, loss: 0.536419034004
epoch0, iter970, loss: 0.447912693024
epoch0, iter980, loss: 0.400322675705
epoch0, iter990, loss: 0.418502628803
epoch0, iter1000, loss: 0.448458939791
epoch0, iter1010, loss: 0.390699803829
epoch0, iter1020, loss: 0.397260934114
epoch0, iter1030, loss: 0.476944416761
epoch0, iter1040, loss: 0.4200553298
epoch0, iter1050, loss: 0.387221306562
epoch0, iter1060, loss: 0.350702017546
epoch0, iter1070, loss: 0.374911904335
epoch0, iter1080, loss: 0.391578376293
epoch0, iter1090, loss: 0.295887798071
epoch0, iter1100, loss: 0.466017901897
epoch0, iter1110, loss: 0.350285261869
epoch0, iter1120, loss: 0.372582793236
epoch0, iter1130, loss: 0.396741092205
epoch0, iter1140, loss: 0.34885558486
epoch0, iter1150, loss: 0.325973212719
epoch0, iter1160, loss: 0.330950379372
epoch0, iter1170, loss: 0.346979022026
epoch0, iter1180, loss: 0.321423530579
epoch0, iter1190, loss: 0.295831799507
epoch0, iter1200, loss: 0.40245243907
epoch0, iter1210, loss: 0.536235809326
epoch0, iter1220, loss: 0.341431707144
epoch0, iter1230, loss: 0.426973849535
epoch0, iter1240, loss: 0.368235051632
epoch0, iter1250, loss: 0.352258235216
epoch0, iter1260, loss: 0.30261361599
epoch0, iter1270, loss: 0.314696907997
epoch0, iter1280, loss: 0.362878113985
epoch0, iter1290, loss: 0.318428635597
epoch0, iter1300, loss: 0.298614948988
