Configs: FCNs_batch1_epoch50_RMSprop_scheduler-step50-gamma0.5_lr0.0001_momentum0_w_decay1e-51
Finish cuda loading, time elapsed 0.127589941025
epoch0, iter0, loss: 3.55265927315
epoch0, iter1, loss: -3.55164718628
epoch0, iter10, loss: 3.54437541962
epoch0, iter11, loss: -3.48636436462
epoch0, iter20, loss: 3.37265467644
epoch0, iter21, loss: -3.56360125542
epoch0, iter30, loss: 3.30628275871
epoch0, iter31, loss: -3.11164927483
epoch0, iter40, loss: 3.39399981499
epoch0, iter41, loss: -3.44324421883
epoch0, iter50, loss: 3.16044592857
epoch0, iter51, loss: -3.13357901573
epoch0, iter60, loss: 3.12428879738
epoch0, iter61, loss: -3.19124960899
epoch0, iter70, loss: 3.46706700325
epoch0, iter71, loss: -3.12567877769
epoch0, iter80, loss: 3.35080766678
epoch0, iter81, loss: -3.02425789833
epoch0, iter90, loss: 3.03135561943
epoch0, iter91, loss: -3.39583230019
epoch0, iter100, loss: 3.15196299553
epoch0, iter101, loss: -2.77739453316
epoch0, iter110, loss: 3.6744248867
epoch0, iter111, loss: -2.96190333366
epoch0, iter120, loss: 3.18262147903
epoch0, iter121, loss: -3.27018284798
epoch0, iter130, loss: 3.1249973774
epoch0, iter131, loss: -3.6051838398
epoch0, iter140, loss: 3.50304961205
epoch0, iter141, loss: -3.07774066925
epoch0, iter150, loss: 3.06387209892
epoch0, iter151, loss: -3.20102572441
epoch0, iter160, loss: 2.95038247108
epoch0, iter161, loss: -3.36328196526
epoch0, iter170, loss: 3.57307887077
epoch0, iter171, loss: -3.23723220825
epoch0, iter180, loss: 3.42523407936
epoch0, iter181, loss: -3.30950450897
epoch0, iter190, loss: 3.10940003395
epoch0, iter191, loss: -3.48006367683
epoch0, iter200, loss: 2.87127423286
epoch0, iter201, loss: -3.34390616417
epoch0, iter210, loss: 3.07014393806
epoch0, iter211, loss: -3.28445935249
epoch0, iter220, loss: 3.00490546227
epoch0, iter221, loss: -2.90401339531
epoch0, iter230, loss: 2.726801157
epoch0, iter231, loss: -2.64942145348
epoch0, iter240, loss: 3.46801710129
epoch0, iter241, loss: -3.06980800629
epoch0, iter250, loss: 2.66659522057
epoch0, iter251, loss: -3.48011040688
epoch0, iter260, loss: 3.02814149857
epoch0, iter261, loss: -2.95066428185
epoch0, iter270, loss: 3.25645804405
epoch0, iter271, loss: -3.26884818077
epoch0, iter280, loss: 3.14330816269
epoch0, iter281, loss: -2.66344070435
epoch0, iter290, loss: 2.99218320847
epoch0, iter291, loss: -3.28015637398
epoch0, iter300, loss: 2.62834763527
epoch0, iter301, loss: -3.4872303009
epoch0, iter310, loss: 3.41398406029
epoch0, iter311, loss: -3.17253565788
epoch0, iter320, loss: 3.58792304993
epoch0, iter321, loss: -3.0428006649
epoch0, iter330, loss: 2.77757716179
epoch0, iter331, loss: -3.20781731606
epoch0, iter340, loss: 2.87788748741
epoch0, iter341, loss: -3.235227108
epoch0, iter350, loss: 3.53269076347
epoch0, iter351, loss: -3.23759675026
epoch0, iter360, loss: 3.17070960999
epoch0, iter361, loss: -3.11936354637
epoch0, iter370, loss: 2.70588183403
epoch0, iter371, loss: -3.07262277603
epoch0, iter380, loss: 2.7774040699
epoch0, iter381, loss: -2.63532423973
epoch0, iter390, loss: 2.51498770714
epoch0, iter391, loss: -3.35963058472
epoch0, iter400, loss: 3.25630354881
epoch0, iter401, loss: -3.22127127647
epoch0, iter410, loss: 2.66983914375
epoch0, iter411, loss: -3.27223873138
epoch0, iter420, loss: 3.24675726891
epoch0, iter421, loss: -3.14876580238
epoch0, iter430, loss: 2.78011226654
epoch0, iter431, loss: -2.96362423897
epoch0, iter440, loss: 2.96652436256
epoch0, iter441, loss: -3.31301760674
epoch0, iter450, loss: 3.24053931236
epoch0, iter451, loss: -3.09280920029
epoch0, iter460, loss: 3.01486945152
epoch0, iter461, loss: -2.44252467155
epoch0, iter470, loss: 2.70369338989
epoch0, iter471, loss: -3.33530807495
epoch0, iter480, loss: 2.77461504936
epoch0, iter481, loss: -3.32250475883
epoch0, iter490, loss: 3.32042431831
epoch0, iter491, loss: -2.88625431061
epoch0, iter500, loss: 2.7150785923
epoch0, iter501, loss: -3.35360836983
epoch0, iter510, loss: 2.5619866848
epoch0, iter511, loss: -2.76439213753
epoch0, iter520, loss: 2.63439536095
epoch0, iter521, loss: -2.92388558388
epoch0, iter530, loss: 2.81921887398
epoch0, iter531, loss: -2.76471304893
epoch0, iter540, loss: 3.46226429939
epoch0, iter541, loss: -2.96205997467
epoch0, iter550, loss: 3.00062346458
